//X Y Z Scalar_field Scalar_field_#2 Scalar_field_#3 Scalar_field_#4 Scalar_field_#5 Scalar_field_#6 Scalar_field_#7 Scalar_field_#8 Scalar_field_#9 Nx Ny Nz
476
-101.76803589 -103.75762939 -73.60343933 -93.401833 -3.036027 -179.798462 0.003513 0.059524 0.998221 -0.052964 0.996837 -0.059255 -0.998586 -0.052666 0.007229
-101.84483337 -104.49496460 -74.08663940 -94.807449 0.970070 179.828690 -0.002990 0.083857 0.996473 0.016930 0.996339 -0.083795 -0.999844 0.016947 -0.004984
-101.91601563 -105.25746918 -74.62981415 -95.458733 3.568447 -179.125381 0.015235 0.094172 0.995439 0.062241 0.993535 -0.094944 -0.997922 0.063742 0.009405
-101.89553833 -106.15274048 -75.08780670 -93.117569 4.780489 177.902069 -0.036480 0.057395 0.997685 0.083339 0.995046 -0.054196 -0.995831 0.081804 -0.040357
-101.91560364 -107.03582764 -75.60752106 -95.610916 9.264752 -177.050842 0.050779 0.089399 0.994701 0.160997 0.982226 -0.096497 -0.985538 0.165607 0.035901
-102.35018921 -107.78623199 -75.82113647 -95.525146 35.254745 -177.255463 0.039101 0.068662 0.996873 0.577213 0.812800 -0.078624 -0.815008 0.579409 -0.006849
-103.29926300 -108.28902435 -75.77286530 -99.192780 48.825375 -175.152222 0.055637 0.096392 0.993787 0.752707 0.649900 -0.105177 -0.656993 0.753069 -0.035322
-104.30478668 -108.90245056 -75.77764893 -102.452110 64.815155 -168.384933 0.085676 0.033298 0.995766 0.904940 0.415530 -0.091756 -0.417317 0.908738 0.006500
-105.40282440 -109.12088776 -75.77391052 -107.767372 74.138115 -164.510437 0.072993 0.049429 0.996107 0.961923 0.260283 -0.083404 -0.263428 0.964267 -0.028181
-106.47319031 -109.06718445 -75.73492432 -114.685310 76.097511 -156.180618 0.097034 0.025862 0.994945 0.970706 0.218313 -0.100345 -0.219037 0.975710 -0.003514
-107.17993927 -109.03036499 -75.71450043 115.303383 70.161934 -24.520285 0.140841 -0.035933 0.989380 0.940655 -0.306804 -0.145048 0.308766 0.951098 -0.008680
-107.26763153 -108.66104126 -75.74804688 96.635612 35.615345 -5.188470 0.073516 -0.062772 0.995317 0.582341 -0.807499 -0.093940 0.810126 0.585783 -0.023542
-106.97514343 -108.49687195 -75.78306580 92.302567 -11.874322 -0.551448 0.009418 -0.042153 0.999067 -0.205766 -0.977811 -0.039317 0.978485 -0.205564 -0.017620
-106.16871643 -108.60005951 -75.82752991 90.365021 -44.370590 -2.262757 0.028223 -0.033975 0.999024 -0.699297 -0.714817 -0.004554 0.714896 -0.697841 -0.044059
-105.00791168 -108.65721893 -75.83499146 91.950928 -59.776920 -0.633136 0.005562 -0.043584 0.999034 -0.864072 -0.503076 -0.017136 0.503557 -0.863045 -0.039791
-103.70503998 -108.48997498 -75.77719116 102.546928 -79.278389 11.723576 -0.037801 -0.017832 0.999126 -0.982543 -0.181594 -0.040415 0.182408 -0.983169 -0.010325
-102.11817932 -108.64953613 -75.86513519 98.642319 -81.091965 7.123230 -0.019202 -0.027989 0.999424 -0.987938 -0.153091 -0.023268 0.153811 -0.987811 -0.023926
-100.47698212 -108.58893585 -75.90327454 104.548111 -84.426666 14.028069 -0.023542 -0.010185 0.999671 -0.995273 -0.094006 -0.024396 0.093238 -0.995616 -0.007502
-98.86394501 -108.66822052 -75.94010162 134.134933 -87.477676 43.518795 -0.030304 -0.011232 0.999478 -0.999031 -0.031585 -0.030645 0.031518 -0.999441 -0.011184
-97.14868164 -108.78012085 -75.91875458 119.056931 -85.281784 28.340357 -0.039047 -0.013912 0.999141 -0.996611 -0.071902 -0.039950 0.072817 -0.997278 -0.011609
-95.65845490 -108.69281006 -75.85269165 -142.640839 -87.620346 125.573074 -0.033772 -0.030742 0.998957 -0.999138 0.025195 -0.033003 -0.023717 -0.999207 -0.031966
-94.31963348 -108.83214569 -75.84957123 130.234451 -82.000481 39.782707 -0.089048 -0.012638 0.995947 -0.990269 -0.106239 -0.089889 0.106876 -0.994267 -0.003239
-93.18537140 -108.75575256 -75.88429260 103.025627 -77.280029 11.758038 -0.044869 -0.026994 0.998628 -0.975458 -0.214521 -0.049627 0.216021 -0.976228 -0.017707
-92.54693604 -108.55131531 -75.87345886 95.861519 -48.887661 3.288103 -0.037714 -0.058968 0.997547 -0.753422 -0.654100 -0.067151 0.656277 -0.754228 -0.020990
-92.70313263 -108.33084106 -75.92689514 91.951981 -4.468946 -1.488250 0.025893 -0.036073 0.999014 -0.077919 -0.996381 -0.033958 0.996645 -0.076499 -0.029091
-93.65750122 -108.33930969 -75.92829895 93.348122 22.106396 -0.677658 0.010958 -0.053955 0.998483 0.376328 -0.924905 -0.054109 0.926750 0.375571 0.008973
-94.65805817 -108.16334534 -75.96147919 92.998489 40.651157 -3.260139 0.043146 -0.015228 0.998953 0.651452 -0.757651 -0.039687 0.756766 0.653253 -0.023780
-95.56351471 -107.60565948 -75.93910980 100.012772 55.883179 -10.192816 0.099254 -0.026850 0.994700 0.827896 -0.552339 -0.097519 0.552819 0.832692 -0.031867
-96.45180511 -107.15036774 -75.94402313 92.041946 41.896591 -2.639664 0.034281 -0.004858 0.999400 0.667788 -0.743879 -0.026522 0.743757 0.668120 -0.021010
-96.79154968 -106.54555511 -76.00569916 89.113258 22.122747 -1.460437 0.023610 0.025068 0.999407 0.376592 -0.926268 0.014337 0.925905 0.376352 -0.032556
-97.01093292 -105.72438049 -75.92595673 93.438660 18.251110 -3.262762 0.054052 -0.042090 0.997651 0.313182 -0.947983 -0.056962 0.947783 0.316776 -0.036894
-97.35443115 -105.10784912 -75.97527313 91.540459 3.064710 0.036973 -0.000644 -0.026917 0.999637 0.053464 -0.998209 -0.026844 0.998619 0.052451 0.003085
-97.24849701 -104.64365387 -76.28959656 92.594460 1.465421 0.279232 -0.004872 -0.045390 0.998957 0.025574 -0.998648 -0.045252 0.999671 0.025168 0.005034
-97.04370117 -103.99322510 -76.59133911 89.903496 1.087975 -0.917031 0.016002 0.001988 0.999870 0.018988 -0.999818 0.001684 0.999701 0.019206 -0.015162
-97.15831757 -103.24633789 -77.01325989 88.159996 1.229016 -0.704327 0.012290 0.032370 0.999400 0.021449 -0.999254 0.032101 0.999690 0.021184 -0.013114
-96.98861694 -102.59104156 -77.55566406 89.196327 3.362121 3.326048 -0.057918 0.010600 0.998265 0.058646 -0.998181 0.014002 0.996549 0.059771 0.057598
-96.89138794 -101.82579041 -78.07858276 88.421494 -3.052443 -0.107714 0.001877 0.027447 0.999622 -0.053250 -0.998202 0.027508 0.998623 -0.052451 -0.001028
-96.89416504 -100.94812012 -78.65168762 87.431252 6.909286 0.342300 -0.005931 0.044099 0.999010 0.120298 -0.991740 0.044493 0.992690 0.120688 0.001087
-96.96905518 -100.24543762 -79.08381653 90.291588 6.222520 -0.825437 0.014321 -0.003527 0.999891 0.108390 -0.994096 -0.005059 0.994047 0.108025 -0.014185
-97.10169983 -99.38177490 -79.62821960 91.709251 15.542723 1.615504 -0.027161 -0.037367 0.998932 0.267957 -0.963002 -0.028737 0.963340 0.265877 0.035862
-97.37678528 -98.64707184 -80.10406494 95.833710 23.684998 -1.788209 0.028577 -0.089122 0.995611 0.401708 -0.911025 -0.093080 0.914894 0.403592 0.009084
-97.74043274 -97.71883392 -80.53344727 95.139046 43.037201 -0.167820 0.002141 -0.087582 0.996155 0.682473 -0.727973 -0.065470 0.731265 0.679545 0.058903
-98.39411926 -97.11714172 -80.58958435 95.443764 61.745224 -0.947556 0.007829 -0.080355 0.996736 0.880851 -0.471258 -0.044910 0.473168 0.878344 0.067992
-99.22660828 -96.78373718 -80.50798035 105.319687 73.356064 -13.444668 0.066595 -0.042115 0.996891 0.958103 -0.276246 -0.075674 0.279702 0.959858 0.020947
-99.87359619 -96.51521301 -80.50434875 -134.826385 83.941513 -135.596573 0.073850 0.010154 0.997218 0.994415 0.074856 -0.074404 -0.074763 0.997187 -0.005265
-100.44670868 -96.69332123 -80.54140472 -98.377495 72.332146 -172.917358 0.037422 0.028351 0.998897 0.952832 0.300260 -0.044218 -0.301270 0.953403 -0.016117
-100.99708557 -97.51500702 -80.50050354 -98.889587 63.856071 -170.729645 0.070982 0.009638 0.997431 0.897690 0.435335 -0.068091 -0.435935 0.899696 0.022526
-101.57089996 -98.32935333 -80.58084106 -93.899536 34.834866 -176.627975 0.048279 0.034369 0.998242 0.571213 0.818901 -0.055820 -0.820027 0.571952 0.020673
-101.73257446 -99.23936462 -80.59960938 -92.866219 10.229198 -177.756653 0.038522 0.043023 0.998331 0.177586 0.982874 -0.049209 -0.983583 0.178093 0.029100
-101.62074280 -100.02715302 -80.59891510 -92.460777 2.300159 -179.781738 0.003806 0.042782 0.999077 0.040135 0.998273 -0.042901 -0.999209 0.039643 0.003049
-101.64360046 -100.56649780 -80.85484314 -92.815033 -4.415939 -178.008591 0.034647 0.051755 0.998059 -0.076996 0.995828 -0.048966 -0.996475 -0.074817 0.037951
-101.82743835 -101.20307922 -81.16691589 -90.526703 -9.402064 179.182098 -0.014083 0.006860 0.999877 -0.163362 0.986525 -0.009069 -0.986652 -0.162361 -0.012489
-101.70353699 -101.81791687 -81.53060150 -91.102234 -5.915643 179.954437 -0.000791 0.019154 0.999816 -0.103064 0.994491 -0.019134 -0.994569 -0.104070 0.001073
-101.80911255 -102.48918915 -82.08744812 -91.335533 -7.092895 -179.942535 0.000995 0.023431 0.999725 -0.123478 0.992078 -0.023129 -0.992323 -0.123630 0.003282
-101.78872681 -103.11890411 -82.50112915 -91.548477 -4.429980 178.381439 -0.028161 0.024831 0.999295 -0.077241 0.996648 -0.026942 -0.996554 -0.078477 -0.026876
-101.72782898 -103.78408813 -82.95280457 -91.091797 -8.640431 178.631012 -0.023620 0.015460 0.999601 -0.150233 0.988471 -0.018838 -0.988364 -0.150576 -0.021511
-101.72309113 -104.42033386 -83.44551086 -91.659142 -3.914783 179.291595 -0.012335 0.028107 0.999529 -0.068273 0.997248 -0.028886 -0.997618 -0.068330 -0.009461
-101.60293579 -105.10267639 -83.81039429 -90.897972 -5.665946 177.633728 -0.041086 0.011583 0.999088 -0.098728 0.994992 -0.015595 -0.994389 -0.098443 -0.038714
-101.51116943 -105.77092743 -84.19781494 -89.129242 -8.350994 -178.836960 0.020082 -0.012246 0.999723 -0.145237 0.989283 0.015036 -0.989221 -0.145176 0.019132
-101.26831818 -106.34359741 -84.62478638 -92.944160 -7.736985 -179.356796 0.011124 0.052869 0.998540 -0.134626 0.989589 -0.050895 -0.990941 -0.132945 0.018992
-101.42496490 -107.01006317 -85.04295349 -95.375633 1.034929 -177.963409 0.035532 0.092987 0.995033 0.018062 0.995439 -0.093670 -0.999190 0.021610 0.033958
-101.95915985 -107.59904480 -85.05026245 -91.985771 31.512232 179.978989 -0.000313 0.034843 0.999393 0.522681 0.852017 -0.029541 -0.853249 0.521203 -0.017691
-102.59569550 -107.68539429 -85.04461670 -90.450462 65.675850 -177.480545 0.018106 -0.032201 0.999317 0.911230 0.411886 -0.003238 -0.412140 0.910418 0.035781
-103.76915741 -107.61268616 -85.00968933 -87.502975 71.037598 176.280090 -0.021082 0.017824 0.999619 0.945732 0.324639 0.014157 -0.324457 0.945596 -0.023987
-104.87322998 -107.87356567 -84.94520569 -95.218765 79.223038 -174.832855 0.016840 0.002483 0.999855 0.982363 0.186211 -0.017008 -0.186011 0.982547 0.001141
-106.07985687 -107.78635406 -84.99633789 -99.359573 79.866234 -172.259857 0.023697 0.030334 0.999259 0.984400 0.173605 -0.028614 -0.174647 0.984272 -0.026602
-107.23409271 -107.98609161 -84.94416046 -93.996490 60.492664 -175.906143 0.035162 0.007538 0.999353 0.870293 0.491337 -0.034327 -0.492212 0.870425 0.009388
-107.59783936 -108.45285034 -84.90962219 -94.655151 13.558515 -178.243927 0.029791 0.073960 0.996816 0.234438 0.968924 -0.078897 -0.971538 0.236641 0.010702
-107.32039642 -108.60491180 -84.95002747 -89.839783 -36.047352 179.879456 -0.001701 -0.004034 0.999990 -0.588454 0.808528 0.002261 -0.807960 -0.589223 -0.004101
