# boujou export: text
# Creation date : Fri Jan 10 14:16:21 2025
# The image sequence file name was 
# boujou frame 0 is image sequence file 1
# boujou frame 475 is image sequence file 476
# One boujou frame for every image sequence frame
# Exporting camera data for boujou frames 0 to 475
# First boujou frame indexed to animation frame 1
#The Camera (One line per time frame)
#Image Size 3840 1920
#Line Format: Camera Rotation Matrix (9 numbers - 1st row, 2nd row, 3rd row) Camera Translation (3 numbers) Focal Length (mm)
#rotation applied before translation
#R(0,0)	R(0,1)	R(0,2)	R(1,0)	R(1,1)	R(1,2)	R(2,0)	R(2,1)	R(2,2)	Tx	Ty	Tz	F(pix)
9.5264019931480481e-01	-3.0395221347136392e-01	9.4711443504935360e-03	-1.8432512150658810e-02	-8.8802324174522856e-02	-9.9587870231118969e-01	3.0354059554739171e-01	9.4853950847977953e-01	-9.0199266669266046e-02	3.1478211717492464e+00	-6.4663305705365488e+00	3.3762486014370815e+01	6.1115498147287815e+02
9.9007684357199699e-01	-1.3159355668024336e-01	4.9304965903600284e-02	4.2114392437724538e-02	-5.6878522625593855e-02	-9.9749246193318764e-01	1.3406797444622243e-01	9.8967063688086321e-01	-5.0772125459878657e-02	3.0841599800293649e+00	-5.2478426200700632e+00	3.3735705919392814e+01	6.1115498147287815e+02
9.9758321265247740e-01	-6.1642292838786861e-02	3.2061839740407341e-02	2.8214750287508507e-02	-6.2298324398591565e-02	-9.9765868243770717e-01	6.3495367548946913e-02	9.9615217035887926e-01	-6.0408540696817115e-02	3.1105314384169400e+00	-4.3099629618537678e+00	3.3546226489133190e+01	6.1115498147287815e+02
9.9993361636781075e-01	-7.9180621741753998e-03	8.3706122236170150e-03	7.6004392994056744e-03	-9.2744510813650580e-02	-9.9566093075724993e-01	8.6600334900233666e-03	9.9565845549834142e-01	-9.2678173345233608e-02	3.2538776296050562e+00	-3.3755180497261490e+00	3.3021794420712808e+01	6.1115498147287815e+02
9.9877856743381499e-01	-4.9410211033233842e-02	6.5425589435268855e-05	-3.2535633419628132e-03	-6.7088707048568647e-02	-9.9774170991902089e-01	4.9303017761961609e-02	9.9652282283558513e-01	-6.7167521968292759e-02	3.2432677887530632e+00	-2.6318507338409605e+00	3.2542619301080940e+01	6.1115498147287815e+02
9.9922694841155957e-01	-1.2815431646360231e-03	3.9292024829981710e-02	3.9060528269583637e-02	-8.0707688698312963e-02	-9.9597216031186231e-01	4.4475498225199361e-03	9.9673698969793123e-01	-8.0595239738354182e-02	3.2387425851276097e+00	-1.8445118719669216e+00	3.1982329037097706e+01	6.1115498147287815e+02
9.9824949540830221e-01	-5.6097557724447522e-02	1.8735232435776149e-02	1.5023232871118591e-02	-6.5875995964100195e-02	-9.9771471655470667e-01	5.7203561000784220e-02	9.9624967612195003e-01	-6.4917913057487120e-02	3.1863727977190290e+00	-1.1109367589528860e+00	3.1544822916508771e+01	6.1115498147287815e+02
9.9969038330661986e-01	1.8562315853627276e-02	-1.6570393912454528e-02	-1.5081385323840922e-02	-7.7669776713572961e-02	-9.9686506489192306e-01	-1.9791142993206945e-02	9.9680632332234642e-01	-7.7365783416240050e-02	3.2631194948846414e+00	-3.2623845457108747e-01	3.0994387637539369e+01	6.1115498147287815e+02
9.9874378772405747e-01	-8.8942518842314300e-03	-4.9312663343437035e-02	-4.9683846561352864e-02	-4.7947625203950031e-02	-9.9761342243785467e-01	6.5085999624528434e-03	9.9881025100903020e-01	-4.8329293454460416e-02	3.1334474038256905e+00	4.1622798289094654e-01	3.0584805828363351e+01	6.1115498147287815e+02
9.9608329178821386e-01	8.8274546433539436e-02	5.0675706516160931e-03	9.3276948588263825e-03	-4.7914508074067004e-02	-9.9880788644495666e-01	-8.7926502995268108e-02	9.9494311614683451e-01	-4.8550238959762460e-02	2.9700493872398068e+00	1.1769108847436565e+00	2.9964407796214900e+01	6.1115498147287815e+02
