time_index,X,Y,Z,R,G,B,time
0232,204.26085033,275.37797480,8.69766501,0,250,250,02:32
0233,204.02105514,279.14999655,8.67283883,0,250,250,02:33
0234,203.80915766,282.70049916,8.64951876,0,250,250,02:34
0235,203.76305598,286.31854526,8.60220419,0,250,250,02:35
0236,203.71087182,290.00743700,8.60555491,0,250,250,02:36
0237,203.24210040,293.76452128,8.56492341,0,250,250,02:37
0238,202.38749695,297.28343582,8.56454345,0,250,250,02:38
0239,200.96370273,300.53974236,8.51754067,0,250,250,02:39
0240,199.17437066,303.14268494,8.50575648,0,250,250,02:40
0241,196.69270325,305.12386746,8.56776799,0,250,250,02:41
0242,284.26868439,299.05857918,-6.06316857,0,250,250,02:42
0243,189.96192335,307.46761421,8.63065919,0,250,250,02:43
0244,187.20538076,309.01530965,8.53149807,0,250,250,02:44
0245,184.48472595,310.87992859,8.57350933,0,250,250,02:45
0246,181.88333956,313.02592595,8.66042948,0,250,250,02:46
0247,178.93258540,314.48018138,8.60288000,0,250,250,02:47
0248,175.69098028,315.41713969,8.52373072,0,250,250,02:48
0249,172.76252937,316.21121852,8.44574698,0,250,250,02:49
0250,170.22710927,317.07002258,8.45184286,0,250,250,02:50
0251,168.20293871,318.24802780,8.43222443,0,250,250,02:51
0252,166.86981138,319.87844086,8.38784170,0,250,250,02:52
0253,166.42824236,322.24430084,8.34977853,0,250,250,02:53
0254,166.82448260,324.87670135,8.41352232,0,250,250,02:54
0255,167.39782016,326.35384750,8.48193534,0,250,250,02:55
0256,167.63266118,325.71707153,8.49300806,0,250,250,02:56
0257,167.01312955,324.34014765,8.40285758,0,250,250,02:57
0258,164.84527524,323.01903152,8.48277708,0,250,250,02:58
0259,161.71734047,321.78650665,8.54253471,0,250,250,02:59
0300,158.02709198,320.98412450,8.51017400,0,250,250,03:00
0301,154.30666288,320.38901520,8.42687845,0,250,250,03:01
0302,150.62621943,319.95809301,8.33256984,0,250,250,03:02
0303,146.89884695,319.56037649,8.29733841,0,250,250,03:03
0304,143.16224543,319.27135086,8.32334216,0,250,250,03:04
0305,139.20897547,319.11107381,8.27547725,0,250,250,03:05
0306,135.38081233,318.63521830,8.23413281,0,250,250,03:06
0307,131.62085470,318.10997009,8.19338854,0,250,250,03:07
0308,128.04802831,317.46561432,8.11120172,0,250,250,03:08
0309,124.40285015,316.37289937,8.10779075,0,250,250,03:09
0310,120.81020587,314.85244618,8.10723678,0,250,250,03:10
0311,117.33791065,313.25370407,8.04989890,0,250,250,03:11
0312,113.88673592,311.57020569,7.97413003,0,250,250,03:12
0313,110.54241339,309.68092346,7.96283746,0,250,250,03:13
0314,107.28601646,307.52426529,7.98729217,0,250,250,03:14
0315,104.02283478,305.47252909,7.92092399,0,250,250,03:15
0316,100.88188076,303.13942464,7.92967093,0,250,250,03:16
0317,97.81452084,300.63430532,7.94723860,0,250,250,03:17
0318,94.67662462,298.19005203,7.94994628,0,250,250,03:18
0319,91.58297380,295.68035889,7.96353924,0,250,250,03:19
0320,88.95093918,292.78710938,7.91008377,0,250,250,03:20
0321,87.05112426,289.38076019,7.88163153,0,250,250,03:21
0322,85.89161151,285.65680463,7.93921653,0,250,250,03:22
0323,85.01630910,281.46038818,7.91015477,0,250,250,03:23
0324,85.15939331,279.27032471,8.03034782,0,250,250,03:24
0333,87.76550102,204.67643356,8.61249065,0,250,250,03:33
0334,87.68238068,207.78852336,8.49913756,0,250,250,03:34
0335,87.64846293,210.67129516,8.52445348,0,250,250,03:35
0336,87.69153595,213.30953980,8.72387282,0,250,250,03:36
0337,87.65135345,216.66123963,8.77212047,0,250,250,03:37
0338,87.57094065,219.29262797,8.71302001,0,250,250,03:38
0339,87.45139313,221.61489105,8.67061901,0,250,250,03:39
0342,92.78347931,200.47759094,8.41437330,0,250,250,03:42
0343,91.61892319,198.72098923,8.54398084,0,250,250,03:43
0344,90.45630244,196.87357772,8.88986075,0,250,250,03:44
0345,89.23374417,195.15967921,9.04126227,0,250,250,03:45
0346,88.29232746,193.77183278,9.00146151,0,250,250,03:46
0347,87.37551022,193.00163555,9.03452682,0,250,250,03:47
0348,85.86192767,191.81000519,8.55461669,0,250,250,03:48
0350,84.60546494,188.58816529,8.02827382,0,250,250,03:50
0351,83.31405464,187.29879174,7.96045248,0,250,250,03:51
0352,81.04176712,186.03550816,7.93451768,0,250,250,03:52
0353,78.49067640,185.33016777,7.95355731,0,250,250,03:53
0354,75.81968355,184.89112282,7.97197172,0,250,250,03:54
0355,73.15691151,184.78498122,7.99339928,0,250,250,03:55
0356,70.50725004,184.60616472,7.98617018,0,250,250,03:56
0357,67.97306784,184.57392160,7.97481959,0,250,250,03:57
0358,65.36751785,184.54844284,7.97635260,0,250,250,03:58
